,0,1,2,3,4,5
123,18053775.265000004,18033559.379199997,18056547.2898,21304502.321200002,7390825.040894172,242870561672638.12
124,18032936.750000004,18101526.635199998,17970041.1701,21293288.8,6370056.815273195,208551857607358.44
125,18107921.242500003,17845436.944,18143660.943699997,21100830.6481,9664188.170894787,315976569130408.94
126,17882079.566000003,17868183.774399996,17775731.4818,20613245.6194,10913801.660801522,350070645409709.0
127,17882147.889000002,18171440.691999998,18120135.8694,21212803.345299996,8323108.893850539,273507712011975.62
128,18197834.310500003,18305121.013599996,18592324.9504,21584149.6633,10211813.776238026,342956094435576.5
129,18312138.689500004,18419265.018399995,18275867.135999996,21598450.965699997,6830253.185263904,227372150882046.97
130,18415784.680500004,18489725.545599997,18367064.7698,21785993.0449,8055014.69261632,270132692252004.4
131,18490598.365500003,18502704.217599995,18315019.34,21664106.944900002,5831312.847988245,194603577077466.75
132,18516014.521500006,18632559.2464,18534406.689999998,21730900.5277,5324937.114351983,179048021061052.84
133,18625058.0295,18613330.319199998,18804084.371,21888377.3689,12573827.312211785,428065403769444.8
134,18617132.5615,18593418.303999998,18488335.3465,21929899.900299996,2300370.6526567913,77601569772883.03
135,18609275.416500002,18559707.911199994,18508350.223199997,21962443.489,4074853.2596016168,137651994934898.03
136,18571117.021,18491262.493599996,18409423.4043,21502445.347599998,11923781.426171888,397009765085060.7
137,18485918.240000002,18448842.7288,18276812.1892,21743211.023799997,7429866.028560328,248140257885797.78
138,18439697.730500005,18370390.071999997,18230639.59,21673451.5459,3585760.895972579,119431214626043.94
139,18363141.809000004,18424183.251999997,18320790.914899997,21762875.3146,3614368.9781424524,121098602828245.86
140,18464259.849000003,18541913.468799997,18407600.8017,21877123.218999997,2247439.0134360115,75526671418785.02
141,18550825.090000004,18321378.507999998,18380633.0336,21612264.7237,3615200.884339077,120802626893137.47
142,18274048.617000002,17845129.554399997,18116153.1452,21151128.9787,7421413.732058465,242734690726893.0
143,17886452.238000005,17614519.045599997,17829059.4838,20927630.5,8502811.60395839,274667283610649.5
144,17629250.304500002,17612640.553599995,17554622.7849,20676138.847,10381237.539739294,331932658906549.6
145,17621871.420500003,17751785.5792,17775427.7147,20940387.9118,6192714.450685082,200193467936530.84
146,17755477.047000006,17561238.181599997,17553846.491199996,20383205.919999998,15077690.731508011,477949334866050.2
147,17562293.764500003,17600413.278399996,17477803.4605,20660578.0549,6726320.807045713,213983469947494.44
148,17584259.609000005,17578486.153599996,17447359.2467,20660537.4262,12949608.780592969,411772331404267.2
149,17597104.333,17939361.544,17942398.364,20419771.75,18989608.09845798,608361480766043.4
